<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.01	00:00:00	3120.561	3124.433	3120.227	3122.840	2418	0	160
2025.04.01	00:15:00	3122.821	3125.542	3122.447	3124.139	1406	0	160
2025.04.01	00:30:00	3124.138	3126.528	3124.026	3126.467	1196	0	160
2025.04.01	00:45:00	3126.441	3127.979	3125.772	3127.188	1653	0	160
2025.04.01	01:00:00	3127.234	3134.524	3126.565	3132.880	6887	0	159
2025.04.01	01:15:00	3132.855	3134.664	3130.901	3133.365	4095	0	159
2025.04.01	01:30:00	3133.393	3136.156	3129.806	3135.777	3770	0	160
2025.04.01	01:45:00	3135.815	3138.257	3133.812	3135.442	3484	0	159
2025.04.01	02:00:00	3135.386	3139.915	3132.952	3139.241	4190	0	159
2025.04.01	02:15:00	3139.215	3143.692	3137.990	3142.603	2961	0	160
2025.04.01	02:30:00	3142.691	3143.471	3140.829	3142.769	4265	0	159
2025.04.01	02:45:00	3142.794	3145.702	3142.235	3145.131	3669	0	159
2025.04.01	03:00:00	3145.089	3145.184	3142.598	3144.071	2720	0	159
2025.04.01	03:15:00	3144.070	3145.387	3142.853	3144.788	1842	0	159
2025.04.01	03:30:00	3144.836	3145.982	3143.639	3144.180	3287	0	159
2025.04.01	03:45:00	3144.118	3147.383	3144.118	3146.028	1787	0	159
2025.04.01	04:00:00	3146.000	3147.947	3144.534	3146.500	1726	0	159
2025.04.01	04:15:00	3146.524	3146.524	3142.784	3143.743	1611	0	159
2025.04.01	04:30:00	3143.719	3145.800	3143.250	3144.142	1724	0	159
2025.04.01	04:45:00	3144.145	3145.542	3143.937	3144.721	1286	0	159
2025.04.01	05:00:00	3144.666	3145.151	3141.629	3142.732	2587	0	159
2025.04.01	05:15:00	3142.684	3145.761	3142.427	3145.165	1811	0	159
2025.04.01	05:30:00	3145.095	3149.059	3144.198	3145.328	3055	0	160
2025.04.01	05:45:00	3145.386	3146.270	3130.495	3132.070	6269	0	159
2025.04.01	06:00:00	3132.078	3132.823	3126.488	3130.830	9158	0	159
2025.04.01	06:15:00	3130.835	3138.110	3130.069	3136.290	4401	0	159
2025.04.01	06:30:00	3136.249	3138.113	3133.114	3133.526	4307	0	159
2025.04.01	06:45:00	3133.557	3136.719	3131.767	3133.728	4369	0	159
2025.04.01	07:00:00	3133.705	3136.682	3131.156	3136.518	3243	0	159
2025.04.01	07:15:00	3136.545	3137.699	3130.899	3132.728	3194	0	159
2025.04.01	07:30:00	3132.737	3133.269	3125.794	3126.268	3392	0	159
