date,total,wins,losses,buy,sell,pnl,wr
2024-10-29,7,5,2,7,0,0.58,71.4
2024-10-30,15,7,8,4,11,-10.91,46.7
2024-10-31,32,30,2,10,22,122.73,93.8
2024-11-01,15,6,9,4,11,-8.71,40.0
2024-11-04,21,17,4,10,11,39.26,81.0
2024-11-05,18,12,6,9,9,21.04,66.7
2024-11-06,72,53,19,24,48,208.33,73.6
2024-11-07,74,60,14,63,11,145.25,81.1
2024-11-08,32,18,14,17,15,26.03,56.2
2024-11-11,69,53,16,12,57,140.09,76.8
2024-11-12,44,20,24,14,30,0.69,45.5
2024-11-13,47,28,19,14,33,56.75,59.6
2024-11-14,62,39,23,33,29,61.53,62.9
2024-11-15,30,18,12,13,17,7.97,60.0
2024-11-17,7,7,0,1,6,13.37,100.0
2024-11-18,48,31,17,32,16,31.53,64.6
2024-11-19,28,14,14,10,18,7.18,50.0
2024-11-20,20,14,6,15,5,7.57,70.0
2024-11-21,29,15,14,9,20,-6.76,51.7
2024-11-22,38,24,14,24,14,27.52,63.2
2024-11-24,6,4,2,6,0,10.71,66.7
2024-11-25,108,68,40,41,67,158.98,63.0
2024-11-26,46,32,14,26,20,89.26,69.6
2024-11-27,23,11,12,13,10,0.23,47.8
2024-11-28,17,12,5,15,2,13.14,70.6
2024-11-29,31,16,15,11,20,9.22,51.6
2024-12-01,10,9,1,1,9,14.97,90.0
2024-12-02,52,28,24,18,34,26.43,53.8
2024-12-03,18,10,8,8,10,7.44,55.6
2024-12-04,18,12,6,10,8,10.22,66.7
2024-12-05,27,20,7,6,21,48.1,74.1
2024-12-06,37,27,10,25,12,71.98,73.0
2024-12-08,10,9,1,0,10,23.06,90.0
2024-12-09,51,34,17,47,4,56.36,66.7
2024-12-10,23,18,5,20,3,30.6,78.3
2024-12-11,55,35,20,28,27,52.59,63.6
2024-12-12,44,30,14,8,36,68.97,68.2
2024-12-13,46,33,13,5,41,57.81,71.7
2024-12-16,17,13,4,9,8,32.48,76.5
2024-12-17,22,13,9,1,21,8.1,59.1
2024-12-18,40,26,14,7,33,62.97,65.0
2024-12-19,75,55,20,37,38,121.36,73.3
2024-12-20,27,21,6,22,5,47.44,77.8
2024-12-23,6,4,2,4,2,7.45,66.7
2024-12-26,1,1,0,1,0,2.77,100.0
2024-12-27,6,0,6,3,3,-12.4,0.0
2024-12-30,21,15,6,8,13,34.6,71.4
2024-12-31,11,7,4,10,1,8.47,63.6
2025-01-02,15,11,4,13,2,18.62,73.3
2025-01-03,17,13,4,5,12,26.93,76.5
2025-01-06,20,16,4,15,5,42.19,80.0
2025-01-07,29,19,10,23,6,31.07,65.5
2025-01-08,16,14,2,14,2,38.81,87.5
2025-01-09,17,8,9,8,9,-2.76,47.1
2025-01-10,29,24,5,12,17,65.97,82.8
2025-01-13,48,33,15,4,44,57.05,68.8
2025-01-14,17,10,7,5,12,24.01,58.8
2025-01-15,18,11,7,5,13,20.12,61.1
2025-01-16,20,13,7,9,11,12.22,65.0
2025-01-17,10,6,4,4,6,0.63,60.0
2025-01-19,3,3,0,0,3,3.59,100.0
2025-01-20,16,6,10,6,10,-16.34,37.5
2025-01-21,37,29,8,29,8,64.09,78.4
2025-01-22,34,11,23,10,24,-35.02,32.4
2025-01-23,24,15,9,11,13,21.53,62.5
2025-01-24,25,18,7,11,14,39.1,72.0
2025-01-27,54,42,12,18,36,79.85,77.8
2025-01-28,4,2,2,4,0,-0.92,50.0
2025-01-29,23,14,9,10,13,15.7,60.9
2025-01-30,14,6,8,8,6,-9.42,42.9
2025-01-31,30,21,9,12,18,40.14,70.0
2025-02-02,6,4,2,2,4,8.46,66.7
2025-02-03,76,50,26,42,34,66.03,65.8
2025-02-04,37,32,5,23,14,64.19,86.5
2025-02-05,55,45,10,26,29,107.78,81.8
2025-02-06,47,29,18,18,29,50.46,61.7
2025-02-07,23,15,8,10,13,28.3,65.2
2025-02-09,1,0,1,1,0,-0.9,0.0
2025-02-10,59,45,14,48,11,85.09,76.3
2025-02-11,73,54,19,38,35,158.46,74.0
2025-02-12,67,50,17,18,49,113.18,74.6
2025-02-13,39,24,15,21,18,9.17,61.5
2025-02-14,46,33,13,12,34,91.07,71.7
2025-02-16,6,6,0,2,4,20.15,100.0
2025-02-17,19,10,9,13,6,9.7,52.6
2025-02-18,12,6,6,10,2,7.43,50.0
2025-02-19,35,21,14,8,27,17.75,60.0
2025-02-20,25,19,6,13,12,40.24,76.0
2025-02-21,47,28,19,22,25,51.48,59.6
2025-02-24,32,19,13,26,6,27.86,59.4
2025-02-25,50,39,11,21,29,117.63,78.0
2025-02-26,42,31,11,18,24,60.15,73.8
2025-02-27,70,51,19,27,43,116.4,72.9
2025-02-28,42,35,7,22,20,90.23,83.3
2025-03-02,6,6,0,2,4,19.69,100.0
2025-03-03,38,24,14,32,6,34.81,63.2
2025-03-04,55,41,14,35,20,92.69,74.5
2025-03-05,58,32,26,16,42,35.89,55.2
2025-03-06,41,29,12,19,22,69.08,70.7
2025-03-07,38,19,19,6,32,31.59,50.0
2025-03-10,66,46,20,15,51,83.13,69.7
2025-03-11,30,21,9,23,7,25.25,70.0
2025-03-12,30,23,7,15,15,44.28,76.7
2025-03-13,36,27,9,26,10,46.34,75.0
2025-03-14,39,19,20,13,26,20.67,48.7
2025-03-17,17,13,4,6,11,34.68,76.5
2025-03-18,35,20,15,32,3,5.48,57.1
2025-03-19,38,23,15,25,13,35.66,60.5
2025-03-20,31,19,12,12,19,16.67,61.3
2025-03-21,22,15,7,17,5,17.4,68.2
2025-03-24,18,14,4,3,15,35.46,77.8
2025-03-25,13,11,2,8,5,33.58,84.6
2025-03-26,6,2,4,2,4,-0.34,33.3
2025-03-27,34,20,14,23,11,25.73,58.8
2025-03-28,55,26,29,42,13,11.81,47.3
2025-03-31,53,35,18,31,22,67.62,66.0
2025-04-01,75,46,29,33,42,103.04,61.3
2025-04-02,81,60,21,56,25,175.07,74.1
2025-04-03,96,71,25,38,58,335.8,74.0
2025-04-04,92,73,19,40,52,524.98,79.3
2025-04-06,14,11,3,9,5,88.35,78.6
2025-04-07,114,84,30,37,77,471.63,73.7
2025-04-08,90,57,33,44,46,105.82,63.3
2025-04-09,108,78,30,50,58,390.07,72.2
2025-04-10,88,57,31,57,31,180.02,64.8
2025-04-11,58,48,10,38,20,217.14,82.8
2025-04-13,8,6,2,6,2,4.73,75.0
2025-04-14,81,64,17,41,40,217.49,79.0
2025-04-15,50,29,21,19,31,19.99,58.0
2025-04-16,94,78,16,72,22,300.88,83.0
2025-04-17,76,50,26,37,39,163.55,65.8
