time,direction,entry,tp,sl,result,pnl_pts,pnl_usd,balance,prob,atr,adx
2026-01-23 07:40:00,BUY,4946.23,4954.23,4940.23,LOSS,-6.0,-6.25,93.75,0.6829,4.918,21.0
2026-01-23 07:50:00,BUY,4950.38,4958.38,4944.38,LOSS,-6.0,-6.25,87.5,0.6404,5.355,28.9
2026-01-23 07:55:00,BUY,4944.41,4952.41,4938.41,LOSS,-6.0,-6.25,81.25,0.7207,5.561,31.0
2026-01-23 08:35:00,BUY,4921.3,4929.3,4915.3,LOSS,-6.0,-6.25,75.0,0.5959,9.07,59.4
2026-01-23 08:40:00,BUY,4925.04,4933.04,4919.04,LOSS,-6.0,-6.25,68.75,0.5897,8.756,59.6
2026-01-23 08:45:00,BUY,4916.37,4924.37,4910.37,LOSS,-6.0,-6.25,62.5,0.5905,8.834,60.2
2026-01-23 09:00:00,BUY,4914.26,4922.26,4908.26,LOSS,-6.0,-6.25,56.25,0.634,8.363,60.2
2026-01-23 09:05:00,BUY,4914.29,4922.29,4908.29,LOSS,-6.0,-6.25,50.0,0.632,7.884,58.2
2026-01-23 09:10:00,BUY,4912.04,4920.04,4906.04,LOSS,-6.0,-6.25,43.75,0.6232,7.624,56.9
2026-01-23 09:15:00,BUY,4905.6,4913.6,4899.6,WIN,8.0,7.75,51.5,0.6212,7.834,56.7
2026-01-23 09:20:00,BUY,4909.68,4917.68,4903.68,LOSS,-6.0,-6.25,45.25,0.6293,8.011,56.4
2026-01-23 09:25:00,BUY,4905.31,4913.31,4899.31,WIN,8.0,7.75,53.0,0.6306,8.567,57.6
2026-01-23 09:30:00,BUY,4911.38,4919.38,4905.38,WIN,8.0,7.75,60.75,0.6257,8.672,57.9
2026-01-23 09:35:00,BUY,4912.4,4920.4,4906.4,WIN,8.0,7.75,68.5,0.6329,8.478,57.0
2026-01-23 09:40:00,BUY,4917.15,4925.15,4911.15,WIN,8.0,7.75,76.25,0.6289,8.162,52.7
2026-01-23 09:45:00,BUY,4919.07,4927.07,4913.07,WIN,8.0,7.75,84.0,0.6289,7.776,47.5
2026-01-23 09:50:00,BUY,4919.45,4927.45,4913.45,WIN,8.0,7.75,91.75,0.6361,7.29,41.6
2026-01-23 09:55:00,BUY,4918.58,4926.58,4912.58,WIN,8.0,7.75,99.5,0.6188,6.688,36.9
2026-01-23 10:00:00,BUY,4918.76,4926.76,4912.76,WIN,8.0,7.75,107.25,0.7135,6.515,33.3
2026-01-23 10:05:00,BUY,4919.11,4927.11,4913.11,WIN,8.0,7.75,115.0,0.7014,6.298,28.8
2026-01-23 10:10:00,BUY,4921.29,4929.29,4915.29,WIN,8.0,7.75,122.75,0.6975,5.915,26.1
2026-01-23 11:05:00,BUY,4920.58,4928.58,4914.58,LOSS,-6.0,-6.25,116.5,0.5695,5.486,35.1
2026-01-23 11:15:00,BUY,4916.99,4924.99,4910.99,WIN,8.0,7.75,124.25,0.5683,5.572,35.4
2026-01-23 11:20:00,BUY,4919.37,4927.37,4913.37,WIN,8.0,7.75,132.0,0.5719,5.609,36.7
2026-01-23 11:25:00,BUY,4920.84,4928.84,4914.84,WIN,8.0,7.75,139.75,0.5683,5.262,35.3
2026-01-23 11:30:00,BUY,4923.8,4931.8,4917.8,WIN,8.0,7.75,147.5,0.537,5.225,31.6
2026-01-23 11:35:00,BUY,4923.62,4931.62,4917.62,WIN,8.0,7.75,155.25,0.5428,4.892,28.0
2026-01-23 11:40:00,BUY,4923.47,4931.47,4917.47,WIN,8.0,7.75,163.0,0.541,4.456,24.9
2026-01-23 13:20:00,BUY,4928.14,4936.14,4922.14,WIN,8.0,7.75,170.75,0.5395,6.759,20.8
