date,time,direction,entry,sl,tp,result,pnl_pts,pnl_usd,prob
2024-10-29,2024-10-29 17:15:00,BUY,2768.64,2765.78,2772.94,WIN,0.309,0.06,0.5346
2024-10-29,2024-10-29 17:20:00,BUY,2768.15,2765.32,2772.4,WIN,1.552,1.3,0.5285
2024-10-29,2024-10-29 17:25:00,BUY,2768.64,2765.8,2772.89,WIN,0.964,0.71,0.5375
2024-10-29,2024-10-29 17:35:00,BUY,2768.57,2766.05,2772.35,WIN,0.184,-0.07,0.568
2024-10-29,2024-10-29 17:40:00,BUY,2768.95,2766.65,2772.4,LOSS,-0.47,-0.72,0.5787
2024-10-29,2024-10-29 17:45:00,BUY,2769.7,2767.48,2773.03,LOSS,-0.453,-0.7,0.5627
2024-10-29,2024-10-29 17:50:00,BUY,2769.6,2767.5,2772.76,WIN,0.249,-0.0,0.5529
2024-10-30,2024-10-30 12:45:00,BUY,2781.95,2779.73,2785.3,WIN,3.343,3.09,0.5322
2024-10-30,2024-10-30 13:25:00,SELL,2779.61,2782.33,2775.53,WIN,4.08,3.83,0.5442
2024-10-30,2024-10-30 13:30:00,SELL,2773.4,2776.83,2768.26,LOSS,-3.429,-3.68,0.5532
2024-10-30,2024-10-30 13:35:00,SELL,2774.94,2778.51,2769.6,LOSS,-3.566,-3.82,0.5439
2024-10-30,2024-10-30 13:50:00,BUY,2776.17,2772.23,2782.09,WIN,2.993,2.74,0.5205
2024-10-30,2024-10-30 14:35:00,SELL,2777.82,2781.14,2772.84,LOSS,-3.323,-3.57,0.5218
2024-10-30,2024-10-30 14:55:00,BUY,2780.3,2777.07,2785.15,LOSS,-3.23,-3.48,0.5426
2024-10-30,2024-10-30 15:00:00,SELL,2777.06,2780.39,2772.07,WIN,4.995,4.74,0.5208
2024-10-30,2024-10-30 15:05:00,SELL,2774.28,2777.8,2769.0,LOSS,-3.519,-3.77,0.5536
2024-10-30,2024-10-30 15:10:00,SELL,2774.85,2778.31,2769.67,LOSS,-3.454,-3.7,0.5385
2024-10-30,2024-10-30 15:20:00,SELL,2778.84,2782.31,2773.64,LOSS,-3.47,-3.72,0.5301
2024-10-30,2024-10-30 15:55:00,SELL,2784.63,2787.19,2780.81,LOSS,-0.659,-0.91,0.5225
2024-10-30,2024-10-30 16:00:00,SELL,2785.72,2788.14,2782.1,WIN,0.297,0.05,0.5248
2024-10-30,2024-10-30 16:05:00,SELL,2786.03,2788.27,2782.67,WIN,0.667,0.42,0.5324
2024-10-30,2024-10-30 16:25:00,BUY,2785.42,2783.39,2788.48,WIN,1.118,0.87,0.5222
2024-10-31,2024-10-31 12:20:00,SELL,2778.23,2780.24,2775.21,WIN,3.02,2.77,0.5537
2024-10-31,2024-10-31 12:25:00,SELL,2777.36,2779.41,2774.28,WIN,3.077,2.83,0.5586
2024-10-31,2024-10-31 12:35:00,SELL,2775.29,2777.67,2771.72,WIN,3.573,3.32,0.5288
2024-10-31,2024-10-31 12:45:00,SELL,2774.16,2776.71,2770.34,WIN,3.827,3.58,0.5217
2024-10-31,2024-10-31 13:15:00,SELL,2769.63,2772.42,2765.45,WIN,4.186,3.94,0.5221
2024-10-31,2024-10-31 13:30:00,SELL,2765.25,2768.34,2760.63,WIN,4.623,4.37,0.5295
2024-10-31,2024-10-31 13:50:00,SELL,2756.82,2760.53,2751.24,WIN,5.575,5.32,0.5295
2024-10-31,2024-10-31 14:00:00,BUY,2750.39,2746.45,2756.29,WIN,5.909,5.66,0.5507
2024-10-31,2024-10-31 14:05:00,SELL,2753.64,2757.91,2747.22,WIN,6.411,6.16,0.5723
2024-10-31,2024-10-31 14:10:00,SELL,2752.64,2756.69,2746.57,LOSS,-4.051,-4.3,0.5543
2024-10-31,2024-10-31 14:15:00,SELL,2756.18,2760.26,2750.05,WIN,6.127,5.88,0.524
2024-10-31,2024-10-31 14:20:00,SELL,2751.43,2755.73,2744.98,WIN,6.452,6.2,0.5495
2024-10-31,2024-10-31 14:25:00,SELL,2749.87,2753.94,2743.78,WIN,6.095,5.84,0.5824
2024-10-31,2024-10-31 14:30:00,SELL,2746.61,2751.12,2739.86,WIN,6.754,6.5,0.5656
2024-10-31,2024-10-31 14:35:00,SELL,2743.0,2747.64,2736.05,WIN,6.956,6.71,0.5519
2024-10-31,2024-10-31 14:40:00,SELL,2741.01,2745.63,2734.1,WIN,6.917,6.67,0.5445
2024-10-31,2024-10-31 14:45:00,SELL,2739.45,2744.13,2732.43,WIN,7.017,6.77,0.5492
2024-10-31,2024-10-31 14:50:00,SELL,2739.51,2744.02,2732.74,WIN,6.767,6.52,0.5705
2024-10-31,2024-10-31 14:55:00,BUY,2734.78,2730.05,2741.86,WIN,4.934,4.68,0.5329
2024-10-31,2024-10-31 15:00:00,BUY,2733.6,2729.04,2740.44,WIN,6.841,6.59,0.5464
2024-10-31,2024-10-31 15:15:00,SELL,2738.88,2743.37,2732.13,WIN,1.954,1.7,0.524
2024-10-31,2024-10-31 15:25:00,SELL,2739.41,2743.6,2733.13,WIN,2.009,1.76,0.5308
2024-10-31,2024-10-31 15:35:00,BUY,2736.64,2732.85,2742.34,WIN,3.357,3.11,0.5315
2024-10-31,2024-10-31 15:40:00,BUY,2736.92,2733.38,2742.24,WIN,2.607,2.36,0.5216
2024-10-31,2024-10-31 15:50:00,BUY,2737.4,2734.21,2742.19,WIN,4.788,4.54,0.523
2024-10-31,2024-10-31 15:55:00,BUY,2740.58,2737.33,2745.45,WIN,2.281,2.03,0.5365
2024-10-31,2024-10-31 16:00:00,BUY,2740.0,2736.86,2744.71,WIN,2.555,2.31,0.5298
2024-10-31,2024-10-31 16:10:00,BUY,2740.88,2737.9,2745.34,LOSS,-0.943,-1.19,0.5308
2024-10-31,2024-10-31 16:20:00,SELL,2742.86,2745.51,2738.87,WIN,3.982,3.73,0.5479
2024-10-31,2024-10-31 16:25:00,SELL,2742.55,2745.19,2738.6,WIN,3.954,3.7,0.5761
2024-10-31,2024-10-31 16:30:00,SELL,2742.15,2744.77,2738.22,WIN,1.416,1.17,0.5527
2024-10-31,2024-10-31 16:55:00,BUY,2740.74,2738.46,2744.16,WIN,1.747,1.5,0.53
2024-11-01,2024-11-01 09:35:00,SELL,2750.32,2752.41,2747.18,LOSS,-2.095,-2.34,0.5244
2024-11-01,2024-11-01 12:30:00,BUY,2756.33,2753.28,2760.91,LOSS,-3.049,-3.3,0.5542
2024-11-01,2024-11-01 12:35:00,BUY,2758.29,2755.08,2763.11,LOSS,-3.212,-3.46,0.5258
2024-11-01,2024-11-01 13:00:00,BUY,2759.86,2755.91,2765.79,LOSS,-3.951,-4.2,0.5246
2024-11-01,2024-11-01 13:25:00,SELL,2753.62,2757.5,2747.79,LOSS,-3.886,-4.14,0.53
2024-11-01,2024-11-01 13:30:00,SELL,2755.14,2758.97,2749.4,LOSS,-3.826,-4.08,0.5317
2024-11-01,2024-11-01 14:15:00,SELL,2754.7,2758.1,2749.61,WIN,5.093,4.84,0.5262
2024-11-01,2024-11-01 14:20:00,SELL,2750.93,2754.42,2745.7,WIN,5.231,4.98,0.5363
2024-11-01,2024-11-01 14:40:00,BUY,2739.8,2735.44,2746.33,WIN,6.533,6.28,0.5255
2024-11-01,2024-11-01 14:50:00,SELL,2745.53,2749.91,2738.96,LOSS,-2.892,-3.14,0.5208
2024-11-01,2024-11-01 14:55:00,SELL,2747.15,2751.47,2740.67,LOSS,-2.429,-2.68,0.5233
2024-11-01,2024-11-01 15:50:00,SELL,2744.88,2747.72,2740.6,WIN,0.402,0.15,0.5265
2024-11-01,2024-11-01 16:05:00,SELL,2743.5,2746.13,2739.56,LOSS,-1.349,-1.6,0.5418
2024-11-01,2024-11-01 16:20:00,SELL,2743.48,2745.86,2739.9,WIN,1.616,1.37,0.5242
2024-11-01,2024-11-01 16:55:00,SELL,2743.13,2745.22,2739.98,WIN,2.862,2.61,0.5307
2024-11-04,2024-11-04 08:50:00,SELL,2733.66,2735.78,2730.47,LOSS,-2.126,-2.38,0.5269
2024-11-04,2024-11-04 09:15:00,BUY,2737.99,2735.79,2741.28,WIN,3.29,3.04,0.5238
2024-11-04,2024-11-04 09:20:00,BUY,2739.18,2736.95,2742.52,WIN,3.34,3.09,0.52
2024-11-04,2024-11-04 09:25:00,BUY,2741.08,2738.79,2744.51,WIN,1.697,1.45,0.5472
2024-11-04,2024-11-04 09:35:00,SELL,2742.57,2744.71,2739.37,LOSS,-0.715,-0.97,0.5269
