result,direction,entry,exit,sl,tp,sl_dist,tp_dist,pips,atr,rr_planned,candle
LOSS,SELL,4645.529,4657.529,4657.529,4528.137,12.0,117.392,-12.0,11.739,9.78,2026-03-20 13:35:00
LOSS,SELL,4561.867,4575.198,4575.198,4428.56,13.331,133.308,-13.331,13.331,10.0,2026-03-20 17:50:00
LOSS,SELL,4500.479,4512.479,4512.479,4394.1,12.0,106.379,-12.0,10.638,8.86,2026-03-22 22:05:00
WIN,SELL,4399.452,4175.681,4421.829,4175.681,22.377,223.772,223.772,22.377,10.0,2026-03-23 06:45:00
LOSS,SELL,4246.471,4264.601,4264.601,4065.171,18.13,181.3,-18.13,18.13,10.0,2026-03-23 10:50:00
LOSS,BUY,4426.006,4411.056,4411.056,4575.506,14.95,149.5,-14.95,14.95,10.0,2026-03-23 19:10:00
LOSS,SELL,4322.202,4341.755,4341.755,4126.667,19.553,195.535,-19.553,19.553,10.0,2026-03-24 02:20:00
LOSS,SELL,4340.182,4353.059,4353.059,4211.408,12.877,128.774,-12.877,12.877,10.0,2026-03-24 04:00:00
LOSS,BUY,4409.245,4397.245,4397.245,4526.939,12.0,117.694,-12.0,11.769,9.81,2026-03-24 09:15:00
LOSS,BUY,4592.289,4580.289,4580.289,4677.63,12.0,85.341,-12.0,8.534,7.11,2026-03-25 03:00:00
