time,open,high,low,close,candle,body,wick_up,wick_down,pattern,rsi,ema20,ema50,macd,histogram,adx,atr,signal,score,sl,tp,logged_at
2023-10-30 17:00:00,2008.69995,2009.59998,2004.30005,2007.69995,BEARISH,1.0,0.90002,3.3999,Spinning Top,46.53,2008.26767,2009.64216,-0.94445,0.21881,43.2,5.45971,,,,,2023-10-30 17:00:00
2023-10-30 18:00:00,2007.80005,2009.59998,2007.19995,2007.69995,BEARISH,0.1001,1.79993,0.5,Doji,46.53,2008.2136,2009.56599,-0.8758,0.22997,43.8,5.05176,,,,,2023-10-30 18:00:00
2023-10-30 19:00:00,2007.59998,2008.69995,2004.40002,2005.69995,BEARISH,1.90002,1.09998,1.29993,None,40.58,2007.97421,2009.41438,-0.97158,0.10735,45.92,4.95151,,,,,2023-10-30 19:00:00
2023-10-30 20:00:00,2005.69995,2006.59998,2005.0,2005.69995,DOJI,0.0,0.90002,0.69995,Doji,40.58,2007.75761,2009.26872,-1.03554,0.03471,47.76,4.50464,,,,,2023-10-30 20:00:00
2023-10-30 22:00:00,2005.59998,2006.30005,2004.5,2004.69995,BEARISH,0.90002,0.70007,0.19995,None,37.77,2007.46641,2009.08955,-1.15363,-0.0667,49.64,4.14403,,,,,2023-10-30 22:00:00
2023-10-30 23:00:00,2004.69995,2005.69995,2003.59998,2004.90002,BULLISH,0.20007,0.79993,1.09998,Doji,38.69,2007.22199,2008.92526,-1.21704,-0.10409,51.76,3.87149,,,,,2023-10-30 23:00:00
2023-10-31 00:00:00,2004.80005,2005.59998,2003.59998,2004.90002,BULLISH,0.09998,0.69995,1.20007,Doji,38.69,2007.00085,2008.7674,-1.25285,-0.11192,53.59,3.62196,,,,,2023-10-31 00:00:00
2023-10-31 01:00:00,2004.69995,2006.5,2003.90002,2005.5,BULLISH,0.80005,1.0,0.79993,None,41.66,2006.85791,2008.63927,-1.21877,-0.06227,52.66,3.48569,,,,,2023-10-31 01:00:00
2023-10-31 02:00:00,2005.59998,2006.40002,2003.5,2003.69995,BEARISH,1.90002,0.80005,0.19995,Bearish Engulfing ↓,36.02,2006.55715,2008.44557,-1.32178,-0.13222,52.24,3.4076,,,,,2023-10-31 02:00:00
2023-10-31 03:00:00,2003.69995,2004.30005,2001.0,2001.09998,BEARISH,2.59998,0.6001,0.09998,None,29.75,2006.03742,2008.15751,-1.59482,-0.32421,53.8,3.39326,,,,,2023-10-31 03:00:00
2023-10-31 04:00:00,2001.5,2002.40002,1999.90002,2002.0,BULLISH,0.5,0.40002,1.59998,Spinning Top,34.03,2005.65291,2007.91604,-1.71877,-0.35853,55.76,3.27416,,,,,2023-10-31 04:00:00
2023-10-31 05:00:00,2002.09998,2004.5,2002.0,2002.19995,BULLISH,0.09998,2.30005,0.09998,Inverted Hammer,34.98,2005.32405,2007.69188,-1.78034,-0.33608,57.47,3.17094,,,,,2023-10-31 05:00:00
2023-10-31 06:00:00,2002.40002,2004.30005,2001.59998,2004.0,BULLISH,1.59998,0.30005,0.80005,None,42.93,2005.19795,2007.5471,-1.6647,-0.17635,59.18,3.10816,,,,,2023-10-31 06:00:00
2023-10-31 07:00:00,2004.0,2007.0,2003.80005,2005.59998,BULLISH,1.59998,1.40002,0.19995,None,48.91,2005.23624,2007.47074,-1.4275,0.04868,53.62,3.1204,,,,,2023-10-31 07:00:00
2023-10-31 08:00:00,2005.5,2008.59998,2004.19995,2006.40002,BULLISH,0.90002,2.19995,1.30005,Spinning Top,51.64,2005.34708,2007.42875,-1.16156,0.25169,46.89,3.29101,,,,,2023-10-31 08:00:00
2023-10-31 09:00:00,2006.30005,2007.69995,2005.5,2006.59998,BULLISH,0.29993,1.09998,0.80005,Spinning Top,52.32,2005.4664,2007.39625,-0.92402,0.39139,41.05,3.14554,,,,,2023-10-31 09:00:00
2023-10-31 10:00:00,2006.69995,2009.40002,2005.69995,2009.30005,BULLISH,2.6001,0.09998,1.0,None,60.47,2005.83151,2007.47091,-0.512,0.64273,38.56,3.21948,,,,,2023-10-31 10:00:00
2023-10-31 11:00:00,2009.19995,2009.69995,2006.90002,2009.30005,BULLISH,0.1001,0.3999,2.29993,Doji,60.47,2006.16185,2007.54264,-0.18335,0.7771,36.4,3.16354,,,,,2023-10-31 11:00:00
2023-10-31 12:00:00,2009.19995,2011.0,2004.09998,2004.80005,BEARISH,4.3999,1.80005,0.70007,None,45.46,2006.03215,2007.43509,-0.28274,0.54217,33.51,3.66173,,,,,2023-10-31 12:00:00
2023-10-31 13:00:00,2004.80005,2013.90002,2003.59998,2012.30005,BULLISH,7.5,1.59998,1.20007,None,62.27,2006.62909,2007.62587,0.24089,0.85264,31.15,4.54684,,,,,2023-10-31 13:00:00
2023-10-31 14:00:00,2012.30005,2017.69995,2008.0,2008.30005,BEARISH,4.0,5.3999,0.30005,None,52.9,2006.78823,2007.65231,0.32932,0.75285,29.1,5.23392,,,,,2023-10-31 14:00:00
2023-10-31 15:00:00,2008.30005,2008.59998,2001.5,2003.40002,BEARISH,4.90002,0.29993,1.90002,None,44.14,2006.46555,2007.48555,0.00396,0.34199,29.94,5.48273,,,,,2023-10-31 15:00:00
2023-10-31 16:00:00,2003.30005,2004.0,1995.5,1999.80005,BEARISH,3.5,0.69995,4.30005,None,39.03,2005.83074,2007.18416,-0.53818,-0.16011,33.44,5.88503,,,,,2023-10-31 16:00:00
2023-10-31 17:00:00,1999.90002,2000.40002,1992.19995,1992.80005,BEARISH,7.09998,0.5,0.6001,None,31.41,2004.58972,2006.62008,-1.5152,-0.90971,37.45,6.19371,,,,,2023-10-31 17:00:00
2023-10-31 18:00:00,1993.90002,1994.0,1987.40002,1993.40002,BEARISH,0.5,0.09998,6.0,Hanging Man ↓,32.62,2003.52403,2006.10164,-2.21554,-1.28804,42.01,6.24787,,,,,2023-10-31 18:00:00
2023-10-31 19:00:00,1993.19995,1995.59998,1992.90002,1993.59998,BULLISH,0.40002,2.0,0.29993,Spinning Top,33.05,2002.57889,2005.61138,-2.72304,-1.43643,45.95,5.77482,,,,,2023-10-31 19:00:00
