time,open,high,low,close,candle,body,wick_up,wick_down,pattern,rsi,ema20,ema50,macd,histogram,adx,atr,signal,score,sl,tp,logged_at
2026-01-09 06:35:00,4483.6001,4484.7002,4482.1001,4484.1001,BULLISH,0.5,0.6001,1.5,Spinning Top,69.3,4477.57964,4475.64122,2.0609,0.85413,36.36,3.69262,,,,,2026-01-09 06:35:00
2026-01-09 06:40:00,4483.8999,4484.3999,4483.2002,4483.8999,DOJI,0.0,0.5,0.69971,Doji,68.57,4478.18157,4475.96509,2.29987,0.87448,38.08,3.36023,,,,,2026-01-09 06:40:00
2026-01-09 06:45:00,4484.0,4486.0,4483.3999,4484.1001,BULLISH,0.1001,1.8999,0.6001,Doji,68.92,4478.74524,4476.28411,2.47686,0.84117,40.91,3.25888,,,,,2026-01-09 06:45:00
2026-01-09 06:50:00,4484.2002,4484.8999,4482.3999,4483.1001,BEARISH,1.1001,0.69971,0.7002,Bearish Engulfing ↓,65.0,4479.15999,4476.55141,2.50752,0.69747,40.71,3.1577,,,,,2026-01-09 06:50:00
2026-01-09 06:55:00,4482.8999,4484.2002,4481.6001,4483.0,BULLISH,0.1001,1.2002,1.2998,Doji,64.6,4479.5257,4476.80429,2.49499,0.54795,38.62,3.08335,,,,,2026-01-09 06:55:00
2026-01-09 07:00:00,4483.2998,4484.7002,4480.5,4483.7998,BULLISH,0.5,0.90039,2.7998,Spinning Top,66.37,4479.93276,4477.07863,2.52054,0.4588,34.45,3.23226,,,,,2026-01-09 07:00:00
2026-01-09 07:05:00,4483.6001,4484.5,4482.7998,4483.7998,BULLISH,0.19971,0.7002,0.80029,Spinning Top,66.37,4480.30105,4477.3422,2.51183,0.36008,30.85,3.02799,,,,,2026-01-09 07:05:00
2026-01-09 07:10:00,4483.2998,4483.2998,4479.7998,4480.2998,BEARISH,3.0,0.0,0.5,None,52.97,4480.30093,4477.45819,2.19718,0.03634,30.59,3.15759,,,,,2026-01-09 07:10:00
2026-01-09 07:15:00,4480.6001,4482.1001,4479.7002,4481.6001,BULLISH,1.0,0.5,0.8999,None,56.48,4480.42466,4477.62062,2.02935,-0.10519,30.49,3.05656,,,,,2026-01-09 07:15:00
2026-01-09 07:20:00,4481.5,4481.7002,4478.7002,4479.3999,BEARISH,2.1001,0.2002,0.69971,None,49.71,4480.32707,4477.69039,1.69922,-0.34826,31.61,3.04902,,,,,2026-01-09 07:20:00
