time,open,high,low,close,candle,body,wick_up,wick_down,pattern,rsi,ema20,ema50,macd,histogram,adx,atr,signal,score,sl,tp,logged_at
2025-11-17 19:00:00,4062.592,4065.055,4010.749,4011.229,BEARISH,51.363,2.463,0.48,Marubozu Bear ↓,26.51,4068.21122,4075.64504,-8.22206,-4.39432,66.02,23.27186,,,,,2025-11-17 19:00:00
2025-11-17 20:00:00,4011.258,4043.973,4006.827,4041.064,BULLISH,29.806,2.909,4.431,,40.46,4065.62577,4074.28893,-9.32219,-4.39555,69.49,25.12174,,,,,2025-11-17 20:00:00
2025-11-17 21:00:00,4040.977,4046.281,4038.771,4045.789,BULLISH,4.812,0.492,2.206,,42.33,4063.73655,4073.17128,-9.70095,-3.81945,72.5,22.77351,,,,,2025-11-17 21:00:00
2025-11-17 23:00:00,4049.919,4055.565,4028.586,4036.825,BEARISH,13.094,5.646,8.239,Bearish Engulfing ↓,39.78,4061.17355,4071.74594,-10.60222,-3.77658,75.27,23.33424,,,,,2025-11-17 23:00:00
2025-11-18 00:00:00,4036.862,4041.194,4027.346,4040.127,BULLISH,3.265,1.067,9.516,Hammer ↑,41.18,4059.16911,4070.50598,-10.92412,-3.27878,77.69,22.06941,,,,,2025-11-18 00:00:00
2025-11-18 01:00:00,4040.152,4045.052,4022.302,4025.005,BEARISH,15.147,4.9,2.703,Bearish Engulfing ↓,36.93,4055.91539,4068.72163,-12.25814,-3.69024,79.87,22.16015,,,,,2025-11-18 01:00:00
2025-11-18 02:00:00,4024.96,4035.985,4015.354,4017.671,BEARISH,7.289,11.025,2.317,,35.05,4052.27307,4066.71964,-13.74867,-4.14462,81.86,21.95627,,,,,2025-11-18 02:00:00
2025-11-18 03:00:00,4017.663,4026.276,4008.202,4013.285,BEARISH,4.378,8.613,5.083,Spinning Top,33.93,4048.55992,4064.62416,-15.10966,-4.40449,83.67,21.43863,,,,,2025-11-18 03:00:00
2025-11-18 04:00:00,4013.316,4018.202,4004.878,4010.472,BEARISH,2.844,4.886,5.594,Spinning Top,33.2,4044.9325,4062.50055,-16.22818,-4.4184,85.28,20.35668,,,,,2025-11-18 04:00:00
2025-11-18 05:00:00,4010.442,4025.227,4008.119,4018.984,BULLISH,8.542,6.243,2.323,Bullish Engulfing ↑,37.58,4042.46121,4060.79402,-16.24055,-3.54462,83.1,19.92352,,,,,2025-11-18 05:00:00
2025-11-18 06:00:00,4018.953,4020.5,4007.567,4009.043,BEARISH,9.91,1.547,1.476,,34.72,4039.27852,4058.76457,-16.85818,-3.3298,81.26,18.99145,,,,,2025-11-18 06:00:00
2025-11-18 07:00:00,4009.004,4017.554,3998.037,4013.674,BULLISH,4.67,3.88,10.967,Spinning Top,37.12,4036.84,4056.99631,-16.78053,-2.60172,80.47,19.06153,,,,,2025-11-18 07:00:00
2025-11-18 08:00:00,4013.648,4042.713,4010.54,4036.785,BULLISH,23.137,5.928,3.108,,47.51,4036.83476,4056.20371,-14.68486,-0.40484,71.03,20.80972,,,,,2025-11-18 08:00:00
2025-11-18 09:00:00,4036.765,4047.21,4030.171,4040.264,BULLISH,3.499,6.946,6.594,Spinning Top,48.88,4037.16135,4055.57862,-12.59807,1.34556,62.84,20.30696,,,,,2025-11-18 09:00:00
2025-11-18 10:00:00,4040.134,4050.503,4037.482,4044.148,BULLISH,4.014,6.355,2.652,,50.44,4037.82675,4055.13036,-10.50972,2.74713,55.75,19.3355,,,,,2025-11-18 10:00:00
2025-11-18 11:00:00,4044.194,4050.289,4036.983,4039.406,BEARISH,4.788,6.095,2.423,Bearish Engulfing ↓,48.5,4037.97715,4054.51372,-9.13206,3.29983,49.74,18.53157,,,,,2025-11-18 11:00:00
