ticket,symbol,timeframe,direction,entry_price,sl,tp,lot,source,atr,entry_time,exit_time,exit_price,result,pnl,pips
2791966176,XAUUSD,,SELL,4682.044,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:36,,,OPEN,,
2791966181,XAUUSD,,SELL,4682.044,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:36,,,OPEN,,
2791966186,XAUUSD,,SELL,4682.044,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:36,,,OPEN,,
2791966194,XAUUSD,,SELL,4682.044,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:36,,,OPEN,,
2791966203,XAUUSD,,SELL,4682.023,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:37,,,OPEN,,
2791966222,XAUUSD,,SELL,4681.829,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:37,,,OPEN,,
2791966229,XAUUSD,,SELL,4681.829,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:37,,,OPEN,,
2791966236,XAUUSD,,SELL,4681.829,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:37,,,OPEN,,
2791966243,XAUUSD,,SELL,4681.829,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:37,,,OPEN,,
2791966250,XAUUSD,,SELL,4681.829,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:37,,,OPEN,,
2791966257,XAUUSD,,SELL,4681.524,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:37,,,OPEN,,
2791966271,XAUUSD,,SELL,4681.524,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:38,,,OPEN,,
2791966281,XAUUSD,,SELL,4681.524,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:38,,,OPEN,,
2791966287,XAUUSD,,SELL,4681.524,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:38,,,OPEN,,
2791966296,XAUUSD,,SELL,4681.524,4704.17761,4653.16019,0.01,TraderAI-Bot,0.0,2026-03-19 17:48:38,,,OPEN,,
2792431770,XAUUSD,,SELL,4663.046,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:58,,,OPEN,,
2792431790,XAUUSD,,SELL,4663.119,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:58,,,OPEN,,
2792431801,XAUUSD,,SELL,4663.119,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:58,,,OPEN,,
2792431818,XAUUSD,,SELL,4663.119,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:58,,,OPEN,,
2792431821,XAUUSD,,SELL,4663.119,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:59,,,OPEN,,
2792431841,XAUUSD,,SELL,4663.191,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:59,,,OPEN,,
2792431847,XAUUSD,,SELL,4663.191,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:59,,,OPEN,,
2792431853,XAUUSD,,SELL,4663.191,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:59,,,OPEN,,
2792431858,XAUUSD,,SELL,4663.191,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:59,,,OPEN,,
2792431884,XAUUSD,,SELL,4663.203,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:59,,,OPEN,,
2792431891,XAUUSD,,SELL,4663.203,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:43:59,,,OPEN,,
2792431898,XAUUSD,,SELL,4663.203,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:44:00,,,OPEN,,
2792431904,XAUUSD,,SELL,4663.203,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:44:00,,,OPEN,,
2792431918,XAUUSD,,SELL,4662.641,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:44:00,,,OPEN,,
2792431933,XAUUSD,,SELL,4662.784,4683.526,4634.16666,0.01,TraderAI-Bot,0.0,2026-03-19 18:44:00,,,OPEN,,
2792744714,XAUUSD,,BUY,4620.667,4597.30082,4699.616,0.01,TraderAI-Bot,0.0,2026-03-19 19:11:56,,,OPEN,,
2792744733,XAUUSD,,BUY,4620.738,4597.30082,4699.616,0.01,TraderAI-Bot,0.0,2026-03-19 19:11:56,,,OPEN,,
2792744748,XAUUSD,,BUY,4620.668,4597.30082,4699.616,0.01,TraderAI-Bot,0.0,2026-03-19 19:11:56,,,OPEN,,
2792744769,XAUUSD,,BUY,4620.826,4597.30082,4699.616,0.01,TraderAI-Bot,0.0,2026-03-19 19:11:56,,,OPEN,,
2792744783,XAUUSD,,BUY,4620.974,4597.30082,4699.616,0.01,TraderAI-Bot,0.0,2026-03-19 19:11:56,,,OPEN,,
2792744796,XAUUSD,,BUY,4620.974,4597.30082,4699.616,0.01,TraderAI-Bot,0.0,2026-03-19 19:11:56,,,OPEN,,
